old_class_value,total_count,percentage,cum_percentage,class_name,new_class_value_16,new_class_value
152,2063333477,0.240438461,0.240438461,Shrubland,1,1
176,1482158236,0.172714614,0.413153076,Grassland/Pasture,2,1
142,1087546299,0.126730827,0.539883903,Evergreen Forest,3,2
141,898140095,0.104659487,0.64454339,Deciduous Forest,3,2
1,409599488,0.047730273,0.692273663,Corn,4,3
5,399644525,0.04657023,0.738843893,Soybeans,5,4
190,381270149,0.04442908,0.783272973,Woody Wetlands,6,5
143,254963448,0.02971067,0.812983643,Mixed Forest,3,2
121,235937778,0.027493625,0.840477268,Developed/Open Space,7,6
111,147580217,0.017197395,0.857674663,Open Water,8,7
122,143906418,0.01676929,0.874443953,Developed/Low Intensity,7,6
24,125713120,0.014649241,0.889093194,Winter Wheat,9,8
37,123121151,0.014347201,0.903440395,Other Hay/Non Alfalfa,10,1
195,110102692,0.012830171,0.916270566,Herbaceous Wetlands,6,5
36,92198712,0.010743836,0.927014402,Alfalfa,11,9
61,87070549,0.010146256,0.937160657,Fallow/Idle Cropland,12,10
131,85538350,0.00996771,0.947128367,Barren,13,6
123,83797654,0.009764868,0.956893235,Developed/Med Intensity,7,6
2,68184110,0.007945435,0.96483867,Cotton,14,11
23,55358735,0.006450905,0.971289576,Spring Wheat,16,13
4,37035573,0.004315723,0.975605299,Sorghum,15,12
124,29135611,0.003395147,0.979000447,Developed/High Intensity,7,6
26,17366266,0.002023676,0.981024122,Dbl Crop WinWht/Soybeans,16,13
21,11778073,0.001372489,0.982396611,Barley,16,13
3,10557196,0.001230221,0.983626832,Rice,16,13
31,9813943,0.00114361,0.984770442,Canola,16,13
75,8421500,0.00098135,0.985751792,Almonds,16,13
28,7699542,0.000897221,0.986649013,Oats,16,13
6,6947944,0.000809638,0.987458651,Sunflower,16,13
10,6647579,0.000774637,0.988233288,Peanuts,16,13
22,6614531,0.000770786,0.989004073,Durum Wheat,16,13
59,5724785,0.000667104,0.989671178,Sod/Grass Seed,16,13
42,5663396,0.000659951,0.990331128,Dry Beans,16,13
45,5188141,0.00060457,0.990935698,Sugarcane,16,13
41,5111809,0.000595675,0.991531372,Sugarbeets,16,13
53,4990859,0.00058158,0.992112953,Peas,16,13
69,4870658,0.000567574,0.992680527,Grapes,16,13
43,4588956,0.000534747,0.993215274,Potatoes,16,13
29,4305524,0.000501719,0.993716993,Millet,16,13
205,3721143,0.000433622,0.994150614,Triticale,16,13
27,3289706,0.000383347,0.994533961,Rye,16,13
212,3147860,0.000366817,0.994900778,Oranges,16,13
52,3021952,0.000352145,0.995252924,Lentils,16,13
204,2974708,0.00034664,0.995599564,Pistachios,16,13
236,2340687,0.000272758,0.995872322,Dbl Crop WinWht/Sorghum,16,13
92,2309432,0.000269116,0.996141438,Aquaculture,16,13
76,2295688,0.000267515,0.996408953,Walnuts,16,13
74,2157328,0.000251392,0.996660344,Pecans,16,13
68,2074192,0.000241704,0.996902048,Apples,16,13
72,1950228,0.000227258,0.997129306,Citrus,16,13
51,1712708,0.00019958,0.997328887,Chick Peas,16,13
238,1566542,0.000182548,0.997511434,Dbl Crop WinWht/Cotton,16,13
225,1339057,0.000156039,0.997667474,Dbl Crop WinWht/Corn,16,13
54,1260950,0.000146937,0.997814411,Tomatoes,16,13
35,1200015,0.000139837,0.997954248,Mustard,16,13
32,1139213,0.000132752,0.998086999,Flaxseed,16,13
12,1126998,0.000131328,0.998218327,Sweet Corn,16,13
66,1014301,0.000118196,0.998336523,Cherries,16,13
242,1005848,0.000117211,0.998453734,Blueberries,16,13
33,987435,0.000115065,0.998568799,Safflower,16,13
228,877818,0.000102291,0.99867109,Dbl Crop Triticale/Corn,16,13
58,829673,9.67E-05,0.998767771,Clover/Wildflowers,16,13
112,769484,8.97E-05,0.998857438,Perennial Ice/Snow ,16,13
13,757270,8.82E-05,0.998945682,Pop or Orn Corn,16,13
71,723261,8.43E-05,0.999029963,Other Tree Crops,16,13
49,600910,7.00E-05,0.999099987,Onions,16,13
46,506246,5.90E-05,0.999158979,Sweet Potatoes,16,13
11,452380,5.27E-05,0.999211695,Tobacco,16,13
67,446577,5.20E-05,0.999263734,Peaches,16,13
70,401521,4.68E-05,0.999310523,Christmas Trees,16,13
56,355934,4.15E-05,0.999351999,Hops,16,13
226,337423,3.93E-05,0.999391319,Dbl Crop Oats/Corn,16,13
211,326907,3.81E-05,0.999429413,Olives,16,13
210,320923,3.74E-05,0.99946681,Prunes,16,13
47,313035,3.65E-05,0.999503288,Misc Vegs & Fruits,16,13
44,309625,3.61E-05,0.999539368,Other Crops,16,13
220,297567,3.47E-05,0.999574043,Plums,16,13
77,240253,2.80E-05,0.99960204,Pears,16,13
14,238986,2.78E-05,0.999629889,Mint,16,13
50,223026,2.60E-05,0.999655878,Cucumbers,16,13
215,214953,2.50E-05,0.999680926,Avocados,16,13
227,214938,2.50E-05,0.999705973,Lettuce,16,13
57,208988,2.44E-05,0.999730326,Herbs,16,13
206,193907,2.26E-05,0.999752922,Carrots,16,13
254,190177,2.22E-05,0.999775083,Dbl Crop Barley/Soybeans,16,13
208,162057,1.89E-05,0.999793967,Garlic,16,13
217,150035,1.75E-05,0.999811451,Pomegranates,16,13
48,142960,1.67E-05,0.99982811,Watermelons,16,13
219,138410,1.61E-05,0.999844238,Greens,16,13
229,136210,1.59E-05,0.999860111,Pumpkins,16,13
240,109040,1.27E-05,0.999872817,Dbl Crop Soybeans/Oats,16,13
243,102473,1.19E-05,0.999884758,Cabbage,16,13
237,91744,1.07E-05,0.999895449,Dbl Crop Barley/Corn,16,13
39,88874,1.04E-05,0.999905805,Buckwheat,16,13
216,83896,9.78E-06,0.999915582,Peppers,16,13
222,78828,9.19E-06,0.999924768,Squash,16,13
221,67953,7.92E-06,0.999932686,Strawberries,16,13
25,66598,7.76E-06,0.999940447,Other Small Grains,16,13
214,60268,7.02E-06,0.99994747,Broccoli,16,13
209,51235,5.97E-06,0.99995344,Cantaloupes,16,13
38,45729,5.33E-06,0.999958769,Camelina,16,13
