chip_id,chip_x,chip_y,tile
chip_184_236,-766815.0,1932765.0,01XEP
chip_273_471,812385.0,1334685.0,59XNN
chip_254_259,-612255.0,1462365.0,01XEP
chip_085_328,-148575.0,2598045.0,01XEP
chip_056_317,-222495.0,2792925.0,01XEP
chip_145_497,987105.0,2194845.0,59XNN
chip_309_517,1121505.0,1092765.0,59XNN
chip_119_559,1403745.0,2369565.0,59XNN
chip_226_289,-410655.0,1650525.0,01XEP
chip_113_607,1726305.0,2409885.0,59XNN
chip_245_592,1625505.0,1522845.0,59XNN
chip_144_445,637665.0,2201565.0,59XNN
chip_251_284,-444255.0,1482525.0,01XEP
chip_096_323,-182175.0,2524125.0,01XEP
chip_110_377,180705.0,2430045.0,58XEU
chip_267_480,872865.0,1375005.0,59XNN
chip_120_556,1383585.0,2362845.0,59XNN
chip_254_271,-531615.0,1462365.0,01XEP
chip_151_493,960225.0,2154525.0,59XNN
chip_329_497,987105.0,958365.0,59XNN
chip_179_238,-753375.0,1966365.0,01XEP
chip_116_114,-1586655.0,2389725.0,01XEP
chip_117_574,1504545.0,2383005.0,59XNN
chip_217_335,-101535.0,1711005.0,01XEP
chip_059_087,-1768095.0,2772765.0,01XEP
chip_057_192,-1062495.0,2786205.0,01XEP
chip_273_459,731745.0,1334685.0,59XNN
chip_136_480,872865.0,2255325.0,59XNN
chip_185_613,1766625.0,1926045.0,59XNN
chip_122_576,1517985.0,2349405.0,59XNN
chip_100_367,113505.0,2497245.0,58XEU
chip_060_258,-618975.0,2766045.0,01XEP
chip_083_208,-954975.0,2611485.0,01XEP
chip_151_469,798945.0,2154525.0,59XNN
chip_297_352,12705.0,1173405.0,58XEU
chip_230_282,-457695.0,1623645.0,01XEP
chip_329_508,1061025.0,958365.0,59XNN
chip_111_418,456225.0,2423325.0,59XNN
chip_059_320,-202335.0,2772765.0,01XEP
chip_123_582,1558305.0,2342685.0,59XNN
chip_239_330,-135135.0,1563165.0,01XEP
chip_119_556,1383585.0,2369565.0,59XNN
chip_257_445,637665.0,1442205.0,59XNN
chip_094_385,234465.0,2537565.0,58XEU
chip_273_467,785505.0,1334685.0,59XNN
chip_282_561,1417185.0,1274205.0,59XNN
chip_282_265,-571935.0,1274205.0,01XEP
chip_257_276,-498015.0,1442205.0,01XEP
chip_235_445,637665.0,1590045.0,59XNN
chip_180_242,-726495.0,1959645.0,01XEP
chip_330_501,1013985.0,951645.0,59XNN
chip_247_581,1551585.0,1509405.0,59XNN
chip_282_262,-592095.0,1274205.0,01XEP
chip_246_444,630945.0,1516125.0,59XNN
chip_257_446,644385.0,1442205.0,59XNN
chip_107_376,173985.0,2450205.0,58XEU
chip_254_265,-571935.0,1462365.0,01XEP
chip_136_487,919905.0,2255325.0,59XNN
chip_149_493,960225.0,2167965.0,59XNN
chip_330_499,1000545.0,951645.0,59XNN
chip_127_445,637665.0,2315805.0,59XNN
chip_238_335,-101535.0,1569885.0,01XEP
chip_140_482,886305.0,2228445.0,59XNN
chip_125_503,1027425.0,2329245.0,59XNN
chip_125_446,644385.0,2329245.0,59XNN
chip_134_497,987105.0,2268765.0,59XNN
chip_095_377,180705.0,2530845.0,58XEU
chip_275_474,832545.0,1321245.0,59XNN
chip_182_239,-746655.0,1946205.0,01XEP
chip_131_472,819105.0,2288925.0,59XNN
chip_251_288,-417375.0,1482525.0,01XEP
chip_267_371,140385.0,1375005.0,58XEU
chip_170_346,-27615.0,2026845.0,01XEP
chip_116_448,657825.0,2389725.0,59XNN
chip_329_498,993825.0,958365.0,59XNN
chip_244_335,-101535.0,1529565.0,01XEP
chip_113_423,489825.0,2409885.0,59XNN
chip_062_120,-1546335.0,2752605.0,01XEP
chip_193_407,382305.0,1872285.0,59XNN
chip_238_458,725025.0,1569885.0,59XNN
chip_136_485,906465.0,2255325.0,59XNN
chip_098_386,241185.0,2510685.0,58XEU
chip_273_470,805665.0,1334685.0,59XNN
chip_224_325,-168735.0,1663965.0,01XEP
