tile_id,cloud_cover,spatial_cover,http_links,s3_links
T13TDE,68,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022061T175239.v2.0/HLS.S30.T13TDE.2022061T175239.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022061T175239.v2.0/HLS.S30.T13TDE.2022061T175239.v2.0.Fmask.tif'}
T13TDE,41,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022066T175201.v2.0/HLS.S30.T13TDE.2022066T175201.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022066T175201.v2.0/HLS.S30.T13TDE.2022066T175201.v2.0.Fmask.tif'}
T13TDE,44,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022071T175029.v2.0/HLS.S30.T13TDE.2022071T175029.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022071T175029.v2.0/HLS.S30.T13TDE.2022071T175029.v2.0.Fmask.tif'}
T13TDE,54,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022086T174951.v2.0/HLS.S30.T13TDE.2022086T174951.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022086T174951.v2.0/HLS.S30.T13TDE.2022086T174951.v2.0.Fmask.tif'}
T13TDE,33,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022091T174909.v2.0/HLS.S30.T13TDE.2022091T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022091T174909.v2.0/HLS.S30.T13TDE.2022091T174909.v2.0.Fmask.tif'}
T13TDE,56,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022096T174911.v2.0/HLS.S30.T13TDE.2022096T174911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022096T174911.v2.0/HLS.S30.T13TDE.2022096T174911.v2.0.Fmask.tif'}
T16SDD,72,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022067T163029.v2.0/HLS.S30.T16SDD.2022067T163029.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022067T163029.v2.0/HLS.S30.T16SDD.2022067T163029.v2.0.Fmask.tif'}
T16SDD,58,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022142T162841.v2.0/HLS.S30.T16SDD.2022142T162841.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022142T162841.v2.0/HLS.S30.T16SDD.2022142T162841.v2.0.Fmask.tif'}
T16SDD,60,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022152T162841.v2.0/HLS.S30.T16SDD.2022152T162841.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022152T162841.v2.0/HLS.S30.T16SDD.2022152T162841.v2.0.Fmask.tif'}
T16SDD,49,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022172T162911.v2.0/HLS.S30.T16SDD.2022172T162911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022172T162911.v2.0/HLS.S30.T16SDD.2022172T162911.v2.0.Fmask.tif'}
T16SDD,49,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022177T162839.v2.0/HLS.S30.T16SDD.2022177T162839.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022177T162839.v2.0/HLS.S30.T16SDD.2022177T162839.v2.0.Fmask.tif'}
T16SDD,58,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022182T162851.v2.0/HLS.S30.T16SDD.2022182T162851.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022182T162851.v2.0/HLS.S30.T16SDD.2022182T162851.v2.0.Fmask.tif'}
T13SFV,79,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022075T172959.v2.0/HLS.S30.T13SFV.2022075T172959.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022075T172959.v2.0/HLS.S30.T13SFV.2022075T172959.v2.0.Fmask.tif'}
T13SFV,42,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022145T172859.v2.0/HLS.S30.T13SFV.2022145T172859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022145T172859.v2.0/HLS.S30.T13SFV.2022145T172859.v2.0.Fmask.tif'}
T13SFV,80,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022210T172911.v2.0/HLS.S30.T13SFV.2022210T172911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022210T172911.v2.0/HLS.S30.T13SFV.2022210T172911.v2.0.Fmask.tif'}
T13SFV,33,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022215T172909.v2.0/HLS.S30.T13SFV.2022215T172909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022215T172909.v2.0/HLS.S30.T13SFV.2022215T172909.v2.0.Fmask.tif'}
T13SFV,33,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022220T172911.v2.0/HLS.S30.T13SFV.2022220T172911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022220T172911.v2.0/HLS.S30.T13SFV.2022220T172911.v2.0.Fmask.tif'}
T13SFV,76,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022230T172911.v2.0/HLS.S30.T13SFV.2022230T172911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022230T172911.v2.0/HLS.S30.T13SFV.2022230T172911.v2.0.Fmask.tif'}
T14TNS,31,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022065T173109.v2.0/HLS.S30.T14TNS.2022065T173109.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022065T173109.v2.0/HLS.S30.T14TNS.2022065T173109.v2.0.Fmask.tif'}
T14TNS,73,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022080T173021.v2.0/HLS.S30.T14TNS.2022080T173021.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022080T173021.v2.0/HLS.S30.T14TNS.2022080T173021.v2.0.Fmask.tif'}
T14TNS,51,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022105T172859.v2.0/HLS.S30.T14TNS.2022105T172859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022105T172859.v2.0/HLS.S30.T14TNS.2022105T172859.v2.0.Fmask.tif'}
T14TNS,52,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022145T172859.v2.0/HLS.S30.T14TNS.2022145T172859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022145T172859.v2.0/HLS.S30.T14TNS.2022145T172859.v2.0.Fmask.tif'}
T14TNS,77,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022160T172911.v2.0/HLS.S30.T14TNS.2022160T172911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022160T172911.v2.0/HLS.S30.T14TNS.2022160T172911.v2.0.Fmask.tif'}
T14TNS,32,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022165T172859.v2.0/HLS.S30.T14TNS.2022165T172859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022165T172859.v2.0/HLS.S30.T14TNS.2022165T172859.v2.0.Fmask.tif'}
T14UMU,62,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022123T173911.v2.0/HLS.S30.T14UMU.2022123T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022123T173911.v2.0/HLS.S30.T14UMU.2022123T173911.v2.0.Fmask.tif'}
T14UMU,61,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022128T173859.v2.0/HLS.S30.T14UMU.2022128T173859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022128T173859.v2.0/HLS.S30.T14UMU.2022128T173859.v2.0.Fmask.tif'}
T14UMU,57,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022148T173909.v2.0/HLS.S30.T14UMU.2022148T173909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022148T173909.v2.0/HLS.S30.T14UMU.2022148T173909.v2.0.Fmask.tif'}
T14UMU,47,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022193T173921.v2.0/HLS.S30.T14UMU.2022193T173921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022193T173921.v2.0/HLS.S30.T14UMU.2022193T173921.v2.0.Fmask.tif'}
T14UMU,55,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022208T173909.v2.0/HLS.S30.T14UMU.2022208T173909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022208T173909.v2.0/HLS.S30.T14UMU.2022208T173909.v2.0.Fmask.tif'}
T14UMU,35,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14UMU.2022213T173911.v2.0/HLS.S30.T14UMU.2022213T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T14UMU.2022213T173911.v2.0/HLS.S30.T14UMU.2022213T173911.v2.0.Fmask.tif'}
T17TKG,60,91,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022062T163201.v2.0/HLS.S30.T17TKG.2022062T163201.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022062T163201.v2.0/HLS.S30.T17TKG.2022062T163201.v2.0.Fmask.tif'}
T17TKG,73,93,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022069T162111.v2.0/HLS.S30.T17TKG.2022069T162111.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022069T162111.v2.0/HLS.S30.T17TKG.2022069T162111.v2.0.Fmask.tif'}
T17TKG,80,91,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022072T163051.v2.0/HLS.S30.T17TKG.2022072T163051.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022072T163051.v2.0/HLS.S30.T17TKG.2022072T163051.v2.0.Fmask.tif'}
T17TKG,71,91,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022087T162829.v2.0/HLS.S30.T17TKG.2022087T162829.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022087T162829.v2.0/HLS.S30.T17TKG.2022087T162829.v2.0.Fmask.tif'}
T17TKG,70,92,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022117T162829.v2.0/HLS.S30.T17TKG.2022117T162829.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022117T162829.v2.0/HLS.S30.T17TKG.2022117T162829.v2.0.Fmask.tif'}
T17TKG,35,92,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T17TKG.2022134T161829.v2.0/HLS.S30.T17TKG.2022134T161829.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T17TKG.2022134T161829.v2.0/HLS.S30.T17TKG.2022134T161829.v2.0.Fmask.tif'}
T16SGA,55,95,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SGA.2022071T160949.v2.0/HLS.S30.T16SGA.2022071T160949.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SGA.2022071T160949.v2.0/HLS.S30.T16SGA.2022071T160949.v2.0.Fmask.tif'}
T16SGA,62,95,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SGA.2022081T160839.v2.0/HLS.S30.T16SGA.2022081T160839.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SGA.2022081T160839.v2.0/HLS.S30.T16SGA.2022081T160839.v2.0.Fmask.tif'}
T16SGA,51,95,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SGA.2022101T160819.v2.0/HLS.S30.T16SGA.2022101T160819.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SGA.2022101T160819.v2.0/HLS.S30.T16SGA.2022101T160819.v2.0.Fmask.tif'}
