tile_id,cloud_cover,spatial_cover,http_links,s3_links
T13TDE,68,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022061T175239.v2.0/HLS.S30.T13TDE.2022061T175239.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022061T175239.v2.0/HLS.S30.T13TDE.2022061T175239.v2.0.Fmask.tif'}
T13TDE,41,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022066T175201.v2.0/HLS.S30.T13TDE.2022066T175201.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022066T175201.v2.0/HLS.S30.T13TDE.2022066T175201.v2.0.Fmask.tif'}
T13TDE,44,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022071T175029.v2.0/HLS.S30.T13TDE.2022071T175029.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022071T175029.v2.0/HLS.S30.T13TDE.2022071T175029.v2.0.Fmask.tif'}
T13TDE,39,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022083T174001.v2.0/HLS.S30.T13TDE.2022083T174001.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022083T174001.v2.0/HLS.S30.T13TDE.2022083T174001.v2.0.Fmask.tif'}
T13TDE,54,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022086T174951.v2.0/HLS.S30.T13TDE.2022086T174951.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022086T174951.v2.0/HLS.S30.T13TDE.2022086T174951.v2.0.Fmask.tif'}
T13TDE,33,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022091T174909.v2.0/HLS.S30.T13TDE.2022091T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022091T174909.v2.0/HLS.S30.T13TDE.2022091T174909.v2.0.Fmask.tif'}
T13TDE,56,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022096T174911.v2.0/HLS.S30.T13TDE.2022096T174911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022096T174911.v2.0/HLS.S30.T13TDE.2022096T174911.v2.0.Fmask.tif'}
T13TDE,73,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022101T174909.v2.0/HLS.S30.T13TDE.2022101T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022101T174909.v2.0/HLS.S30.T13TDE.2022101T174909.v2.0.Fmask.tif'}
T13TDE,79,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022103T173911.v2.0/HLS.S30.T13TDE.2022103T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022103T173911.v2.0/HLS.S30.T13TDE.2022103T173911.v2.0.Fmask.tif'}
T13TDE,65,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022106T174911.v2.0/HLS.S30.T13TDE.2022106T174911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022106T174911.v2.0/HLS.S30.T13TDE.2022106T174911.v2.0.Fmask.tif'}
T13TDE,78,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022128T173859.v2.0/HLS.S30.T13TDE.2022128T173859.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022128T173859.v2.0/HLS.S30.T13TDE.2022128T173859.v2.0.Fmask.tif'}
T13TDE,58,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022136T174911.v2.0/HLS.S30.T13TDE.2022136T174911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022136T174911.v2.0/HLS.S30.T13TDE.2022136T174911.v2.0.Fmask.tif'}
T13TDE,76,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022141T174909.v2.0/HLS.S30.T13TDE.2022141T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022141T174909.v2.0/HLS.S30.T13TDE.2022141T174909.v2.0.Fmask.tif'}
T13TDE,53,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022143T173911.v2.0/HLS.S30.T13TDE.2022143T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022143T173911.v2.0/HLS.S30.T13TDE.2022143T173911.v2.0.Fmask.tif'}
T13TDE,36,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022153T173911.v2.0/HLS.S30.T13TDE.2022153T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022153T173911.v2.0/HLS.S30.T13TDE.2022153T173911.v2.0.Fmask.tif'}
T13TDE,70,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022163T173911.v2.0/HLS.S30.T13TDE.2022163T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022163T173911.v2.0/HLS.S30.T13TDE.2022163T173911.v2.0.Fmask.tif'}
T13TDE,46,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022171T174909.v2.0/HLS.S30.T13TDE.2022171T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022171T174909.v2.0/HLS.S30.T13TDE.2022171T174909.v2.0.Fmask.tif'}
T13TDE,32,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022188T173909.v2.0/HLS.S30.T13TDE.2022188T173909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022188T173909.v2.0/HLS.S30.T13TDE.2022188T173909.v2.0.Fmask.tif'}
T13TDE,77,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022196T174921.v2.0/HLS.S30.T13TDE.2022196T174921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022196T174921.v2.0/HLS.S30.T13TDE.2022196T174921.v2.0.Fmask.tif'}
T13TDE,64,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022201T174909.v2.0/HLS.S30.T13TDE.2022201T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022201T174909.v2.0/HLS.S30.T13TDE.2022201T174909.v2.0.Fmask.tif'}
T13TDE,31,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022206T174921.v2.0/HLS.S30.T13TDE.2022206T174921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022206T174921.v2.0/HLS.S30.T13TDE.2022206T174921.v2.0.Fmask.tif'}
T13TDE,80,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022213T173911.v2.0/HLS.S30.T13TDE.2022213T173911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022213T173911.v2.0/HLS.S30.T13TDE.2022213T173911.v2.0.Fmask.tif'}
T13TDE,46,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022226T174921.v2.0/HLS.S30.T13TDE.2022226T174921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022226T174921.v2.0/HLS.S30.T13TDE.2022226T174921.v2.0.Fmask.tif'}
T13TDE,61,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022231T174909.v2.0/HLS.S30.T13TDE.2022231T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022231T174909.v2.0/HLS.S30.T13TDE.2022231T174909.v2.0.Fmask.tif'}
T13TDE,46,26,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022233T173921.v2.0/HLS.S30.T13TDE.2022233T173921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022233T173921.v2.0/HLS.S30.T13TDE.2022233T173921.v2.0.Fmask.tif'}
T13TDE,32,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022236T174921.v2.0/HLS.S30.T13TDE.2022236T174921.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022236T174921.v2.0/HLS.S30.T13TDE.2022236T174921.v2.0.Fmask.tif'}
T13TDE,44,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022251T174909.v2.0/HLS.S30.T13TDE.2022251T174909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022251T174909.v2.0/HLS.S30.T13TDE.2022251T174909.v2.0.Fmask.tif'}
T13TDE,80,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022256T174931.v2.0/HLS.S30.T13TDE.2022256T174931.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022256T174931.v2.0/HLS.S30.T13TDE.2022256T174931.v2.0.Fmask.tif'}
T13TDE,80,25,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022258T173909.v2.0/HLS.S30.T13TDE.2022258T173909.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022258T173909.v2.0/HLS.S30.T13TDE.2022258T173909.v2.0.Fmask.tif'}
T13TDE,49,26,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022263T174031.v2.0/HLS.S30.T13TDE.2022263T174031.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022263T174031.v2.0/HLS.S30.T13TDE.2022263T174031.v2.0.Fmask.tif'}
T13TDE,60,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022271T175119.v2.0/HLS.S30.T13TDE.2022271T175119.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022271T175119.v2.0/HLS.S30.T13TDE.2022271T175119.v2.0.Fmask.tif'}
T16SDD,72,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022067T163029.v2.0/HLS.S30.T16SDD.2022067T163029.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022067T163029.v2.0/HLS.S30.T16SDD.2022067T163029.v2.0.Fmask.tif'}
T16SDD,58,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022142T162841.v2.0/HLS.S30.T16SDD.2022142T162841.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022142T162841.v2.0/HLS.S30.T16SDD.2022142T162841.v2.0.Fmask.tif'}
T16SDD,60,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022152T162841.v2.0/HLS.S30.T16SDD.2022152T162841.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022152T162841.v2.0/HLS.S30.T16SDD.2022152T162841.v2.0.Fmask.tif'}
T16SDD,49,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022172T162911.v2.0/HLS.S30.T16SDD.2022172T162911.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022172T162911.v2.0/HLS.S30.T16SDD.2022172T162911.v2.0.Fmask.tif'}
T16SDD,49,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022177T162839.v2.0/HLS.S30.T16SDD.2022177T162839.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022177T162839.v2.0/HLS.S30.T16SDD.2022177T162839.v2.0.Fmask.tif'}
T16SDD,58,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022182T162851.v2.0/HLS.S30.T16SDD.2022182T162851.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022182T162851.v2.0/HLS.S30.T16SDD.2022182T162851.v2.0.Fmask.tif'}
T16SDD,52,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022187T162839.v2.0/HLS.S30.T16SDD.2022187T162839.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022187T162839.v2.0/HLS.S30.T16SDD.2022187T162839.v2.0.Fmask.tif'}
T16SDD,44,99,{'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022192T162851.v2.0/HLS.S30.T16SDD.2022192T162851.v2.0.Fmask.tif>},{'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022192T162851.v2.0/HLS.S30.T16SDD.2022192T162851.v2.0.Fmask.tif'}
