tile,count,save_path,filename
T10SDJ,0,/data/tiles/HLS.S30.T10SDJ.2022072T190059.v2.0/,HLS.S30.T10SDJ.2022072T190059.v2.0
T10SDJ,1,/data/tiles/HLS.S30.T10SDJ.2022102T185919.v2.0/,HLS.S30.T10SDJ.2022102T185919.v2.0
T10SDJ,2,/data/tiles/HLS.S30.T10SDJ.2022112T185909.v2.0/,HLS.S30.T10SDJ.2022112T185909.v2.0
T10SDJ,3,/data/tiles/HLS.S30.T10SDJ.2022122T185909.v2.0/,HLS.S30.T10SDJ.2022122T185909.v2.0
T10SDJ,4,/data/tiles/HLS.S30.T10SDJ.2022127T185921.v2.0/,HLS.S30.T10SDJ.2022127T185921.v2.0
T10SDJ,5,/data/tiles/HLS.S30.T10SDJ.2022132T185919.v2.0/,HLS.S30.T10SDJ.2022132T185919.v2.0
T10SEH,0,/data/tiles/HLS.S30.T10SEH.2022064T185251.v2.0/,HLS.S30.T10SEH.2022064T185251.v2.0
T10SEH,1,/data/tiles/HLS.S30.T10SEH.2022094T184921.v2.0/,HLS.S30.T10SEH.2022094T184921.v2.0
T10SEH,2,/data/tiles/HLS.S30.T10SEH.2022119T184909.v2.0/,HLS.S30.T10SEH.2022119T184909.v2.0
T10SEH,3,/data/tiles/HLS.S30.T10SEH.2022129T184919.v2.0/,HLS.S30.T10SEH.2022129T184919.v2.0
T10SEH,4,/data/tiles/HLS.S30.T10SEH.2022139T184919.v2.0/,HLS.S30.T10SEH.2022139T184919.v2.0
T10SEH,5,/data/tiles/HLS.S30.T10SEH.2022154T184931.v2.0/,HLS.S30.T10SEH.2022154T184931.v2.0
T10SEJ,0,/data/tiles/HLS.S30.T10SEJ.2022064T185251.v2.0/,HLS.S30.T10SEJ.2022064T185251.v2.0
T10SEJ,1,/data/tiles/HLS.S30.T10SEJ.2022129T184919.v2.0/,HLS.S30.T10SEJ.2022129T184919.v2.0
T10SEJ,2,/data/tiles/HLS.S30.T10SEJ.2022169T184919.v2.0/,HLS.S30.T10SEJ.2022169T184919.v2.0
T10SEJ,3,/data/tiles/HLS.S30.T10SEJ.2022184T184931.v2.0/,HLS.S30.T10SEJ.2022184T184931.v2.0
T10SEJ,4,/data/tiles/HLS.S30.T10SEJ.2022229T184919.v2.0/,HLS.S30.T10SEJ.2022229T184919.v2.0
T10SEJ,5,/data/tiles/HLS.S30.T10SEJ.2022264T185101.v2.0/,HLS.S30.T10SEJ.2022264T185101.v2.0
T10SFE,0,/data/tiles/HLS.S30.T10SFE.2022116T183909.v2.0/,HLS.S30.T10SFE.2022116T183909.v2.0
T10SFE,1,/data/tiles/HLS.S30.T10SFE.2022146T183919.v2.0/,HLS.S30.T10SFE.2022146T183919.v2.0
T10SFE,2,/data/tiles/HLS.S30.T10SFE.2022156T183919.v2.0/,HLS.S30.T10SFE.2022156T183919.v2.0
T10SFE,3,/data/tiles/HLS.S30.T10SFE.2022171T183931.v2.0/,HLS.S30.T10SFE.2022171T183931.v2.0
T10SFE,4,/data/tiles/HLS.S30.T10SFE.2022176T183929.v2.0/,HLS.S30.T10SFE.2022176T183929.v2.0
T10SFE,5,/data/tiles/HLS.S30.T10SFE.2022181T183931.v2.0/,HLS.S30.T10SFE.2022181T183931.v2.0
T10SFF,0,/data/tiles/HLS.S30.T10SFF.2022064T185251.v2.0/,HLS.S30.T10SFF.2022064T185251.v2.0
T10SFF,1,/data/tiles/HLS.S30.T10SFF.2022089T184929.v2.0/,HLS.S30.T10SFF.2022089T184929.v2.0
T10SFF,2,/data/tiles/HLS.S30.T10SFF.2022129T184919.v2.0/,HLS.S30.T10SFF.2022129T184919.v2.0
T10SFF,3,/data/tiles/HLS.S30.T10SFF.2022154T184931.v2.0/,HLS.S30.T10SFF.2022154T184931.v2.0
T10SFF,4,/data/tiles/HLS.S30.T10SFF.2022214T184931.v2.0/,HLS.S30.T10SFF.2022214T184931.v2.0
T10SFF,5,/data/tiles/HLS.S30.T10SFF.2022254T184951.v2.0/,HLS.S30.T10SFF.2022254T184951.v2.0
T10SFG,0,/data/tiles/HLS.S30.T10SFG.2022064T185251.v2.0/,HLS.S30.T10SFG.2022064T185251.v2.0
T10SFG,1,/data/tiles/HLS.S30.T10SFG.2022129T184919.v2.0/,HLS.S30.T10SFG.2022129T184919.v2.0
T10SFG,2,/data/tiles/HLS.S30.T10SFG.2022154T184931.v2.0/,HLS.S30.T10SFG.2022154T184931.v2.0
T10SFG,3,/data/tiles/HLS.S30.T10SFG.2022184T184931.v2.0/,HLS.S30.T10SFG.2022184T184931.v2.0
T10SFG,4,/data/tiles/HLS.S30.T10SFG.2022209T184919.v2.0/,HLS.S30.T10SFG.2022209T184919.v2.0
T10SFG,5,/data/tiles/HLS.S30.T10SFG.2022264T185101.v2.0/,HLS.S30.T10SFG.2022264T185101.v2.0
T10SFH,0,/data/tiles/HLS.S30.T10SFH.2022094T184921.v2.0/,HLS.S30.T10SFH.2022094T184921.v2.0
T10SFH,1,/data/tiles/HLS.S30.T10SFH.2022119T184909.v2.0/,HLS.S30.T10SFH.2022119T184909.v2.0
T10SFH,2,/data/tiles/HLS.S30.T10SFH.2022129T184919.v2.0/,HLS.S30.T10SFH.2022129T184919.v2.0
T10SFH,3,/data/tiles/HLS.S30.T10SFH.2022139T184919.v2.0/,HLS.S30.T10SFH.2022139T184919.v2.0
T10SFH,4,/data/tiles/HLS.S30.T10SFH.2022154T184931.v2.0/,HLS.S30.T10SFH.2022154T184931.v2.0
T10SFH,5,/data/tiles/HLS.S30.T10SFH.2022184T184931.v2.0/,HLS.S30.T10SFH.2022184T184931.v2.0
T10SFJ,0,/data/tiles/HLS.S30.T10SFJ.2022094T184921.v2.0/,HLS.S30.T10SFJ.2022094T184921.v2.0
T10SFJ,1,/data/tiles/HLS.S30.T10SFJ.2022129T184919.v2.0/,HLS.S30.T10SFJ.2022129T184919.v2.0
T10SFJ,2,/data/tiles/HLS.S30.T10SFJ.2022154T184931.v2.0/,HLS.S30.T10SFJ.2022154T184931.v2.0
T10SFJ,3,/data/tiles/HLS.S30.T10SFJ.2022169T184919.v2.0/,HLS.S30.T10SFJ.2022169T184919.v2.0
T10SFJ,4,/data/tiles/HLS.S30.T10SFJ.2022184T184931.v2.0/,HLS.S30.T10SFJ.2022184T184931.v2.0
T10SFJ,5,/data/tiles/HLS.S30.T10SFJ.2022229T184919.v2.0/,HLS.S30.T10SFJ.2022229T184919.v2.0
T10SGD,0,/data/tiles/HLS.S30.T10SGD.2022086T183929.v2.0/,HLS.S30.T10SGD.2022086T183929.v2.0
T10SGD,1,/data/tiles/HLS.S30.T10SGD.2022146T183919.v2.0/,HLS.S30.T10SGD.2022146T183919.v2.0
T10SGD,2,/data/tiles/HLS.S30.T10SGD.2022161T183931.v2.0/,HLS.S30.T10SGD.2022161T183931.v2.0
T10SGD,3,/data/tiles/HLS.S30.T10SGD.2022176T183929.v2.0/,HLS.S30.T10SGD.2022176T183929.v2.0
T10SGD,4,/data/tiles/HLS.S30.T10SGD.2022201T183931.v2.0/,HLS.S30.T10SGD.2022201T183931.v2.0
T10SGD,5,/data/tiles/HLS.S30.T10SGD.2022206T183929.v2.0/,HLS.S30.T10SGD.2022206T183929.v2.0
T10SGE,0,/data/tiles/HLS.S30.T10SGE.2022076T184019.v2.0/,HLS.S30.T10SGE.2022076T184019.v2.0
T10SGE,1,/data/tiles/HLS.S30.T10SGE.2022101T183921.v2.0/,HLS.S30.T10SGE.2022101T183921.v2.0
T10SGE,2,/data/tiles/HLS.S30.T10SGE.2022211T183931.v2.0/,HLS.S30.T10SGE.2022211T183931.v2.0
T10SGE,3,/data/tiles/HLS.S30.T10SGE.2022216T183919.v2.0/,HLS.S30.T10SGE.2022216T183919.v2.0
T10SGE,4,/data/tiles/HLS.S30.T10SGE.2022256T183959.v2.0/,HLS.S30.T10SGE.2022256T183959.v2.0
T10SGE,5,/data/tiles/HLS.S30.T10SGE.2022261T184041.v2.0/,HLS.S30.T10SGE.2022261T184041.v2.0
T10SGF,0,/data/tiles/HLS.S30.T10SGF.2022061T184311.v2.0/,HLS.S30.T10SGF.2022061T184311.v2.0
T10SGF,1,/data/tiles/HLS.S30.T10SGF.2022086T183929.v2.0/,HLS.S30.T10SGF.2022086T183929.v2.0
T10SGF,2,/data/tiles/HLS.S30.T10SGF.2022116T183909.v2.0/,HLS.S30.T10SGF.2022116T183909.v2.0
T10SGF,3,/data/tiles/HLS.S30.T10SGF.2022211T183931.v2.0/,HLS.S30.T10SGF.2022211T183931.v2.0
T10SGF,4,/data/tiles/HLS.S30.T10SGF.2022216T183919.v2.0/,HLS.S30.T10SGF.2022216T183919.v2.0
T10SGF,5,/data/tiles/HLS.S30.T10SGF.2022256T183959.v2.0/,HLS.S30.T10SGF.2022256T183959.v2.0
T10TDM,0,/data/tiles/HLS.S30.T10TDM.2022067T190231.v2.0/,HLS.S30.T10TDM.2022067T190231.v2.0
T10TDM,1,/data/tiles/HLS.S30.T10TDM.2022077T190121.v2.0/,HLS.S30.T10TDM.2022077T190121.v2.0
T10TDM,2,/data/tiles/HLS.S30.T10TDM.2022082T185939.v2.0/,HLS.S30.T10TDM.2022082T185939.v2.0
T10TDM,3,/data/tiles/HLS.S30.T10TDM.2022107T185921.v2.0/,HLS.S30.T10TDM.2022107T185921.v2.0
T10TDM,4,/data/tiles/HLS.S30.T10TDM.2022112T185909.v2.0/,HLS.S30.T10TDM.2022112T185909.v2.0
T10TDM,5,/data/tiles/HLS.S30.T10TDM.2022122T185909.v2.0/,HLS.S30.T10TDM.2022122T185909.v2.0
T10TDP,0,/data/tiles/HLS.S30.T10TDP.2022075T191039.v2.0/,HLS.S30.T10TDP.2022075T191039.v2.0
T10TDP,1,/data/tiles/HLS.S30.T10TDP.2022085T190939.v2.0/,HLS.S30.T10TDP.2022085T190939.v2.0
T10TDP,2,/data/tiles/HLS.S30.T10TDP.2022092T185929.v2.0/,HLS.S30.T10TDP.2022092T185929.v2.0
T10TDP,3,/data/tiles/HLS.S30.T10TDP.2022095T190909.v2.0/,HLS.S30.T10TDP.2022095T190909.v2.0
T10TDP,4,/data/tiles/HLS.S30.T10TDP.2022105T190909.v2.0/,HLS.S30.T10TDP.2022105T190909.v2.0
T10TDP,5,/data/tiles/HLS.S30.T10TDP.2022112T185909.v2.0/,HLS.S30.T10TDP.2022112T185909.v2.0
T10TDQ,0,/data/tiles/HLS.S30.T10TDQ.2022065T191249.v2.0/,HLS.S30.T10TDQ.2022065T191249.v2.0
T10TDQ,1,/data/tiles/HLS.S30.T10TDQ.2022075T191039.v2.0/,HLS.S30.T10TDQ.2022075T191039.v2.0
T10TDQ,2,/data/tiles/HLS.S30.T10TDQ.2022090T190951.v2.0/,HLS.S30.T10TDQ.2022090T190951.v2.0
