,qa_value,binary_string,a_clima,a_low,a_avg,a_high,water,snow,cloud_shadow,adj_cloud,cloud,cirrus,no_water,no_snow,no_cloud_shadow,no_adj_cloud,no_cloud,no_cirrus
0,0,00000000,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
1,1,00000001,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False
2,2,00000010,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True
3,3,00000011,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False
4,4,00000100,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True
5,5,00000101,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False
6,6,00000110,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True
7,7,00000111,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False
8,8,00001000,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True
9,9,00001001,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False
10,10,00001010,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True
11,11,00001011,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False
12,12,00001100,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True
13,13,00001101,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False
14,14,00001110,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True
15,15,00001111,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
16,16,00010000,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True
17,17,00010001,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
18,18,00010010,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True
19,19,00010011,True,False,False,False,False,True,False,False,True,True,True,False,True,True,False,False
20,20,00010100,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True
21,21,00010101,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False
22,22,00010110,True,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True
23,23,00010111,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False
24,24,00011000,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True
25,25,00011001,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False
26,26,00011010,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,True
27,27,00011011,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False
28,28,00011100,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True
29,29,00011101,True,False,False,False,False,True,True,True,False,True,True,False,False,False,True,False
30,30,00011110,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True
31,31,00011111,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False
32,32,00100000,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True
33,33,00100001,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False
34,34,00100010,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True
35,35,00100011,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False
36,36,00100100,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True
37,37,00100101,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False
38,38,00100110,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True
39,39,00100111,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False
40,40,00101000,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True
41,41,00101001,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False
42,42,00101010,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True
43,43,00101011,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False
44,44,00101100,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True
45,45,00101101,True,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False
46,46,00101110,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,True
47,47,00101111,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False
48,48,00110000,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True
49,49,00110001,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False
50,50,00110010,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True
51,51,00110011,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False
52,52,00110100,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,True
53,53,00110101,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,False
54,54,00110110,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True
55,55,00110111,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False
56,56,00111000,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True
57,57,00111001,True,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False
58,58,00111010,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,True
59,59,00111011,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,False
60,60,00111100,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True
61,61,00111101,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False
62,62,00111110,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True
63,63,00111111,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False
64,64,01000000,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True
65,65,01000001,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False
66,66,01000010,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True
67,67,01000011,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False
68,68,01000100,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True
69,69,01000101,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,False
70,70,01000110,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True
71,71,01000111,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False
72,72,01001000,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True
73,73,01001001,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,False
74,74,01001010,False,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True
75,75,01001011,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,False
76,76,01001100,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True
77,77,01001101,False,True,False,False,False,False,True,True,False,True,True,True,False,False,True,False
78,78,01001110,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,True
79,79,01001111,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False
80,80,01010000,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True
81,81,01010001,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False
82,82,01010010,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True
83,83,01010011,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False
84,84,01010100,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True
85,85,01010101,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False
86,86,01010110,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False,True
87,87,01010111,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False
88,88,01011000,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True
89,89,01011001,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False
90,90,01011010,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True
91,91,01011011,False,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False
92,92,01011100,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,True
93,93,01011101,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False
94,94,01011110,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True
95,95,01011111,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False
96,96,01100000,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True
97,97,01100001,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False
98,98,01100010,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True
99,99,01100011,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,False
100,100,01100100,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True
101,101,01100101,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,False
102,102,01100110,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True
103,103,01100111,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False
104,104,01101000,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True
105,105,01101001,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False
106,106,01101010,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True
107,107,01101011,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False
108,108,01101100,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,True
109,109,01101101,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False
110,110,01101110,False,True,False,False,True,False,True,True,True,False,False,True,False,False,False,True
111,111,01101111,False,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False
112,112,01110000,False,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True
