tile_id,cloud_cover,date,spatial_cover,http_links,s3_links
T13TDE,3,2022-04-21,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022111T174859.v2.0/HLS.S30.T13TDE.2022111T174859.v2.0.Fmask.tif'}"
T13TDE,4,2022-06-15,100,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022166T174921.v2.0/HLS.S30.T13TDE.2022166T174921.v2.0.Fmask.tif'}"
T13TDE,5,2022-09-23,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13TDE.2022266T175051.v2.0/HLS.S30.T13TDE.2022266T175051.v2.0.Fmask.tif'}"
T16SDD,0,2022-03-03,100,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022062T163201.v2.0/HLS.S30.T16SDD.2022062T163201.v2.0.Fmask.tif'}"
T16SDD,0,2022-04-27,100,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022117T162829.v2.0/HLS.S30.T16SDD.2022117T162829.v2.0.Fmask.tif'}"
T16SDD,1,2022-06-16,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T16SDD.2022167T162839.v2.0/HLS.S30.T16SDD.2022167T162839.v2.0.Fmask.tif'}"
T13SFV,1,2022-03-01,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022060T173241.v2.0/HLS.S30.T13SFV.2022060T173241.v2.0.Fmask.tif'}"
T13SFV,2,2022-06-29,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022180T172911.v2.0/HLS.S30.T13SFV.2022180T172911.v2.0.Fmask.tif'}"
T13SFV,0,2022-09-27,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T13SFV.2022270T173111.v2.0/HLS.S30.T13SFV.2022270T173111.v2.0.Fmask.tif'}"
T14TNS,0,2022-03-16,99,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B8A.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B12.tif', 'Fmask': <Asset href=https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.Fmask.tif>}","{'B02': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B02.tif', 'B03': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B03.tif', 'B04': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B04.tif', 'B8A': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B8A.tif', 'B11': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B11.tif', 'B12': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.B12.tif', 'Fmask': 's3:/HLSS30.020/HLS.S30.T14TNS.2022075T172959.v2.0/HLS.S30.T14TNS.2022075T172959.v2.0.Fmask.tif'}"
