tile,timestep,date,save_path,filename
T10SDJ,0,2022-03-08,/data/tiles/HLS.S30.T10SDJ.2022067T190231.v2.0/,HLS.S30.T10SDJ.2022067T190231.v2.0
T10SDJ,1,2022-07-16,/data/tiles/HLS.S30.T10SDJ.2022197T185931.v2.0/,HLS.S30.T10SDJ.2022197T185931.v2.0
T10SDJ,2,2022-09-29,/data/tiles/HLS.S30.T10SDJ.2022272T190159.v2.0/,HLS.S30.T10SDJ.2022272T190159.v2.0
T10SEH,0,2022-03-10,/data/tiles/HLS.S30.T10SEH.2022069T185109.v2.0/,HLS.S30.T10SEH.2022069T185109.v2.0
T10SEH,1,2022-06-23,/data/tiles/HLS.S30.T10SEH.2022174T184931.v2.0/,HLS.S30.T10SEH.2022174T184931.v2.0
T10SEH,2,2022-09-16,/data/tiles/HLS.S30.T10SEH.2022259T185019.v2.0/,HLS.S30.T10SEH.2022259T185019.v2.0
T10SEJ,0,2022-03-10,/data/tiles/HLS.S30.T10SEJ.2022069T185109.v2.0/,HLS.S30.T10SEJ.2022069T185109.v2.0
T10SEJ,1,2022-06-28,/data/tiles/HLS.S30.T10SEJ.2022179T184919.v2.0/,HLS.S30.T10SEJ.2022179T184919.v2.0
T10SEJ,2,2022-09-26,/data/tiles/HLS.S30.T10SEJ.2022269T185129.v2.0/,HLS.S30.T10SEJ.2022269T185129.v2.0
T10SFE,0,2022-03-07,/data/tiles/HLS.S30.T10SFE.2022066T184229.v2.0/,HLS.S30.T10SFE.2022066T184229.v2.0
T10SFE,1,2022-05-31,/data/tiles/HLS.S30.T10SFE.2022151T183931.v2.0/,HLS.S30.T10SFE.2022151T183931.v2.0
T10SFE,2,2022-09-28,/data/tiles/HLS.S30.T10SFE.2022271T184151.v2.0/,HLS.S30.T10SFE.2022271T184151.v2.0
T10SFF,0,2022-03-10,/data/tiles/HLS.S30.T10SFF.2022069T185109.v2.0/,HLS.S30.T10SFF.2022069T185109.v2.0
T10SFF,1,2022-06-13,/data/tiles/HLS.S30.T10SFF.2022164T184931.v2.0/,HLS.S30.T10SFF.2022164T184931.v2.0
T10SFF,2,2022-09-16,/data/tiles/HLS.S30.T10SFF.2022259T185019.v2.0/,HLS.S30.T10SFF.2022259T185019.v2.0
T10SFG,0,2022-03-20,/data/tiles/HLS.S30.T10SFG.2022079T184959.v2.0/,HLS.S30.T10SFG.2022079T184959.v2.0
T10SFG,1,2022-05-19,/data/tiles/HLS.S30.T10SFG.2022139T184919.v2.0/,HLS.S30.T10SFG.2022139T184919.v2.0
T10SFG,2,2022-09-06,/data/tiles/HLS.S30.T10SFG.2022249T184919.v2.0/,HLS.S30.T10SFG.2022249T184919.v2.0
T10SFH,0,2022-03-20,/data/tiles/HLS.S30.T10SFH.2022079T184959.v2.0/,HLS.S30.T10SFH.2022079T184959.v2.0
T10SFH,1,2022-04-24,/data/tiles/HLS.S30.T10SFH.2022114T184921.v2.0/,HLS.S30.T10SFH.2022114T184921.v2.0
T10SFH,2,2022-08-12,/data/tiles/HLS.S30.T10SFH.2022224T184931.v2.0/,HLS.S30.T10SFH.2022224T184931.v2.0
T10SFJ,0,2022-05-04,/data/tiles/HLS.S30.T10SFJ.2022124T184921.v2.0/,HLS.S30.T10SFJ.2022124T184921.v2.0
T10SFJ,1,2022-05-14,/data/tiles/HLS.S30.T10SFJ.2022134T184921.v2.0/,HLS.S30.T10SFJ.2022134T184921.v2.0
T10SFJ,2,2022-07-13,/data/tiles/HLS.S30.T10SFJ.2022194T184931.v2.0/,HLS.S30.T10SFJ.2022194T184931.v2.0
T10SGD,0,2022-03-02,/data/tiles/HLS.S30.T10SGD.2022061T184311.v2.0/,HLS.S30.T10SGD.2022061T184311.v2.0
T10SGD,1,2022-05-01,/data/tiles/HLS.S30.T10SGD.2022121T183921.v2.0/,HLS.S30.T10SGD.2022121T183921.v2.0
T10SGD,2,2022-09-28,/data/tiles/HLS.S30.T10SGD.2022271T184151.v2.0/,HLS.S30.T10SGD.2022271T184151.v2.0
T10SGE,0,2022-06-05,/data/tiles/HLS.S30.T10SGE.2022156T183919.v2.0/,HLS.S30.T10SGE.2022156T183919.v2.0
T10SGE,1,2022-06-30,/data/tiles/HLS.S30.T10SGE.2022181T183931.v2.0/,HLS.S30.T10SGE.2022181T183931.v2.0
T10SGE,2,2022-07-25,/data/tiles/HLS.S30.T10SGE.2022206T183929.v2.0/,HLS.S30.T10SGE.2022206T183929.v2.0
T10SGF,0,2022-03-07,/data/tiles/HLS.S30.T10SGF.2022066T184229.v2.0/,HLS.S30.T10SGF.2022066T184229.v2.0
